Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
US>B2B>B2B Decision Maker Responsibilities>Marketing or Market Research,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",fortune.com,Google Ad Manager,Smartphone,54134,155,37418,51299,4,"$1,502.02",$375.50,0.29%,$9.69,$27.75,2.58%,$40.14,72.940993
US>Sociodemographic>ConneXions Lifestage>F2 Suburban Spenders,320x50,Sign up Today - 10% Off,"San Francisco, California",weather.com,Google Ad Manager,Smartphone,292885,796,12733,203986,4,"$1,503.91",$375.98,0.27%,$1.89,$5.13,0.50%,$118.11,6.242095046
Transactional>Q3 Fashion Shoppers,300x50,Sign up Today - 10% Off,"Flint-Saginaw-Bay City, Michigan",zillow.com,Taboola,Smartphone,130602,269,11736,113735,4,"$1,507.85",$376.96,0.21%,$5.61,$11.55,1.49%,$128.48,10.31872335
Online Behavior>United States>Intent>Travel>Cruises,300x50,Subscribe Today - 10% Discount,"San Francisco, California",doctoreport.com,Index Exchange,Smartphone,9560,98,3076,6252,17,"$6,420.22",$377.66,1.03%,$65.51,$671.57,17.35%,"$2,087.20",49.20025592
Online Behavior>United States>Beauty and Fitness>Body Art,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",finance.yahoo.com,Google Ad Manager,Smartphone,22690,68,10212,19934,19,"$7,210.69",$379.51,0.30%,$106.04,$317.79,27.94%,$706.10,51.22905588
Online Behavior>United States>B2B>Occupation>Student,300x250,10% Discount - Ends 6/1,"San Francisco, California",ebay.com,Google Ad Manager,Windows PC,39163,113,16254,36526,15,"$5,692.77",$379.52,0.29%,$50.38,$145.36,13.27%,$350.24,44.49980836
US>Home and Garden Interests>Cooking>Food Enthusiasts,320x50,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",ajc.com,PubMatic,Smartphone,12592,63,7472,11687,4,"$1,521.19",$380.30,0.50%,$24.15,$120.81,6.35%,$203.58,63.93428596
Media Source>LBDigital>Open For Business B2B,320x50,Sign up Now - 10% Off,"Los Angeles, California",tomsguide.com,OpenX,Smartphone,21737,80,11206,19459,4,"$1,521.58",$380.39,0.37%,$19.02,$70.00,5.00%,$135.78,57.5877486
US>Interest Propensities>Activities and Interests>Financial Aid,300x250,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,Google Ad Manager,Smartphone,12864,84,5549,11852,5,"$1,905.89",$381.18,0.65%,$22.69,$148.16,5.95%,$343.47,46.81910226
US>Reach>Propensity Models>Hobbies and Interest>Books>E-Book Reader,300x250,10% Discount - Ends 6/1,"Charleston, South Carolina",yahoo.com,Magnite DV+,Smartphone,90123,60,33421,66729,9,"$3,433.91",$381.55,0.07%,$57.23,$38.10,15.00%,$102.75,50.08467083
US>Interest Propensities>Insurance>MassMutual,300x250,10% Discount - Ends 6/1,"New York City, New York",bbc.com,Google Ad Manager,Windows PC,32845,164,16163,30368,5,"$1,910.44",$382.09,0.50%,$11.65,$58.17,3.05%,$118.20,53.2237882
US>Automotive>Auto Loyalists and Defectors>Auto Make Defectors,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",si.com,TripleLift,Smartphone,11561,87,4063,9941,5,"$1,911.93",$382.39,0.75%,$21.98,$165.38,5.75%,$470.57,40.87113972
OnAudience>Interest>Games,320x50,Sign up Now - 10% Off,"Los Angeles, California",gamespot.com,BidSwitch,Smartphone,13779,96,3482,12487,4,"$1,530.04",$382.51,0.70%,$15.94,$111.04,4.17%,$439.41,27.8850004
Online Behavior>United States>The Changing Consumer>Pet Adoption,300x250,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",weather.com,Google Ad Manager,Apple PC,45668,130,16872,32085,9,"$3,444.20",$382.69,0.28%,$26.49,$75.42,6.92%,$204.14,52.58532024
Online Behavior>United States>Autos and Vehicles>Brands>Citroen,320x50,Sign up Today - 10% Off,"Little Rock-Pine Bluff, Arkansas",reuters.com,Magnite DV+,Smartphone,9319,30,6193,8682,12,"$4,594.60",$382.88,0.32%,$153.15,$493.04,40.00%,$741.90,71.33149044
"Lotame>Style, Fashion & Clothing>Children's Clothing Shoppers",320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",lensvid.com,Yieldmo,Smartphone,9014,26,5054,7227,4,"$1,539.60",$384.90,0.29%,$59.22,$170.80,15.38%,$304.63,69.9321987
Online Behavior>United States>Autos and Vehicles>Brands>Acura,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.aol.com,Google Ad Manager,Windows PC,83854,197,60626,76071,15,"$5,783.84",$385.59,0.23%,$29.36,$68.98,7.61%,$95.40,79.69659923
Online Behavior>United States>The Changing Consumer>Internet Connection,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",businessinsider.com,Google Ad Manager,Windows PC,27202,70,5202,23474,11,"$4,253.98",$386.73,0.26%,$60.77,$156.38,15.71%,$817.76,22.16068842
US>Interest Propensities>TV and Movies>Network TV,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",realtor.com,Google Ad Manager,Smartphone,104814,369,55984,99432,5,"$1,942.85",$388.57,0.35%,$5.27,$18.54,1.36%,$34.70,56.30380562
US>Interest Propensities>Music>Hip Hop and Rap,320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",weather.com,Google Ad Manager,Smartphone,254780,699,19169,182583,4,"$1,561.02",$390.26,0.27%,$2.23,$6.13,0.57%,$81.43,10.49878685
US>Reach>Propensity Models>Travel>High Frequency Travel>Foreign Vacationer,320x50,10% Discount - Ends 6/1,"New York City, New York",nsfas-applications.co.za,PubMatic,Smartphone,15588,80,2089,14526,9,"$3,518.53",$390.95,0.51%,$43.98,$225.72,11.25%,"$1,684.31",14.38110973
Online Behavior>United States>Intent>Shopping>Pet Food>Dog,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",yourdailysportfix.com,Google Ad Manager,Smartphone,18516,68,8191,13641,13,"$5,087.56",$391.35,0.37%,$74.82,$274.77,19.12%,$621.12,60.04691738
US>Brand Propensities>Apparel>The Men's Wearhouse Buyer Propensity,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",yahoo.com,BidSwitch,Windows PC,59296,170,25482,54149,4,"$1,568.72",$392.18,0.29%,$9.23,$26.46,2.35%,$61.56,47.05904079
US>Brand Propensities>Apparel>Bare Necessities Buyer Propensity,320x50,Subscribe Today - 10% Discount,"San Francisco, California",mail.aol.com,BidSwitch,Smartphone,186702,370,132038,167406,4,"$1,568.74",$392.18,0.20%,$4.24,$8.40,1.08%,$11.88,78.87291973
Online Behavior>United States>B2B>Occupation>Entrepreneur,320x50,10% Discount - Ends 6/1,"San Francisco, California",weather.com,PubMatic,Smartphone,686858,2085,81956,624118,19,"$7,467.08",$393.00,0.30%,$3.58,$10.87,0.91%,$91.11,13.13149116
US>B2B>B2B Decision Maker Responsibilities>Internet Services,300x250,Sign up Today - 10% Off,"Los Angeles, California",people.com,Google Ad Manager,Windows PC,31625,99,23764,29364,6,"$2,360.56",$393.43,0.31%,$23.84,$74.64,6.06%,$99.33,80.92902874
Online Behavior>United States>Life Event>University Graduation,300x250,Sign up Today - 10% Off,"New York City, New York",yahoo.com,Google Ad Manager,Smartphone,1221746,3874,512107,1088748,19,"$7,483.89",$393.89,0.32%,$1.93,$6.13,0.49%,$14.61,47.03632062
Online Behavior>United States>Beauty and Fitness>Weight Loss,300x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Magnite DV+,Smartphone,1083050,3984,590156,953556,19,"$7,495.75",$394.51,0.37%,$1.88,$6.92,0.48%,$12.70,61.89002009
US>Brand Propensities>Big Box Dollar General Buyer Propensity,320x50,Sign up Today - 10% Off,"Chicago, Illinois",weather.com,Index Exchange,Smartphone,194833,499,29091,143813,4,"$1,586.31",$396.58,0.26%,$3.18,$8.14,0.80%,$54.53,20.2283521
Online Behavior>United States>Validated Demographic>Age>18 or older,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",reference.com,Google Ad Manager,Windows PC,219088,541,75638,153987,17,"$6,761.07",$397.71,0.25%,$12.50,$30.86,3.14%,$89.39,49.11973089
US>B2B>B2B Decision Maker Responsibilities>Accounting or Tax Services,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",doodle.com,Google Ad Manager,Smartphone,12606,74,8332,11170,5,"$2,002.54",$400.51,0.59%,$27.06,$158.86,6.76%,$240.34,74.59265891
Online Behavior>United States>Hobbies and Leisure>Outdoors>Hiking and Camping,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",ebay.com,Magnite DV+,Apple PC,27592,80,10901,24980,17,"$6,809.36",$400.55,0.29%,$85.12,$246.79,21.25%,$624.65,43.63891113
Mobile - US>Food>Restaurant>Brand>Buffalo Wild Wings,300x250,Subscribe Today - 10% Discount,"San Francisco, California",evite.com,Google Ad Manager,Windows PC,16354,40,8061,15667,4,"$1,610.32",$402.58,0.24%,$40.26,$98.47,10.00%,$199.77,51.45209676
US>B2B>B2B Decision Maker Responsibilities>Television providers>services,300x250,Subscribe Today - 10% Discount,"Jacksonville, Florida",streetinsider.com,Google Ad Manager,Windows PC,56737,145,41296,53472,5,"$2,028.37",$405.67,0.26%,$13.99,$35.75,3.45%,$49.12,77.22920407
Mobile - US>Financial Services>Digital Payments>Chase Pay,300x250,10% Discount - Ends 6/1,"Los Angeles, California",outlook.live.com,Google Ad Manager,Smartphone,21088,60,17930,19822,4,"$1,623.68",$405.92,0.28%,$27.06,$77.00,6.67%,$90.56,90.45504994
"US>B2B>B2B Decision Maker Responsibilities>Print, Copy or Photo Services",300x250,Subscribe Today - 10% Discount,"San Francisco, California",thesaurus.com,Google Ad Manager,Smartphone,141157,420,8280,107935,4,"$1,631.78",$407.95,0.30%,$3.89,$11.56,0.95%,$197.08,7.671283643
OnAudience>Intent>Sporting Goods,300x250,Sign up Now - 10% Off,"Chicago, Illinois",calculator.net,PubMatic,Smartphone,22004,80,18735,21127,4,"$1,632.47",$408.12,0.36%,$20.41,$74.19,5.00%,$87.13,88.67799498
Media & Entertainment,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",yahoo.com,Google Ad Manager,Smartphone,421110,984,212140,389474,4,"$1,635.92",$408.98,0.23%,$1.66,$3.88,0.41%,$7.71,54.46833421
"Lotame>Style, Fashion & Clothing",320x50,Subscribe Today - 10% Discount,"Tri-Cities, Tennessee-Virginia",rvtrader.com,Google Ad Manager,Smartphone,13168,84,8527,12625,4,"$1,639.72",$409.93,0.64%,$19.52,$124.52,4.76%,$192.30,67.54059406
Online Behavior>United States>Beauty and Fitness>Fitness>Fitness Instruction and Personal Training,300x250,Sign up Now - 10% Off,"Chicago, Illinois",accuweather.com,Magnite DV+,Apple PC,23156,73,4468,18821,15,"$6,173.41",$411.56,0.32%,$84.57,$266.60,20.55%,"$1,381.69",23.73943999
US>Sociodemographic>P$YCLE Premier Lifestage>M2 Wealthy Achievers,320x50,10% Discount - Ends 6/1,"San Francisco, California",dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,11025,50,7974,10311,4,"$1,657.16",$414.29,0.45%,$33.14,$150.31,8.00%,$207.82,77.33488507
Mobile - US>Food>Restaurant>Brand>Moes Southwest Grill,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",mapquest.com,Index Exchange,Smartphone,21903,124,18831,20922,4,"$1,661.17",$415.29,0.57%,$13.40,$75.84,3.23%,$88.21,90.00573559
Mobile - US>Food>Restaurant>Brand>Outback Steakhouse,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",buzzfeed.com,TripleLift,Smartphone,11296,54,6822,9274,4,"$1,682.34",$420.58,0.48%,$31.15,$148.93,7.41%,$246.60,73.5604917
Online Behavior>United States>Food and Drink>Beverages>Soft Drinks,300x250,Sign up Today - 10% Off,"Knoxville, Tennessee",lotterypost.com,Magnite DV+,Smartphone,150457,420,58372,135099,14,"$5,906.83",$421.92,0.28%,$14.06,$39.26,3.33%,$101.19,43.20683351
Online Behavior>United States>Life Event>Engagement,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",businessinsider.com,Google Ad Manager,Smartphone,35163,250,21222,33671,15,"$6,336.72",$422.45,0.71%,$25.35,$180.21,6.00%,$298.59,63.02753111
Online Behavior>United States>B2B>Occupation>Architect,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",yourdailysportfix.com,Google Ad Manager,Smartphone,11420,67,4647,9909,9,"$3,804.64",$422.74,0.59%,$56.79,$333.16,13.43%,$818.73,46.89676052
Online Behavior>United States>News>Business News,320x50,Subscribe Today - 10% Discount,"Knoxville, Tennessee",finance.yahoo.com,OpenX,Smartphone,44505,125,18993,39522,16,"$6,766.48",$422.90,0.28%,$54.13,$152.04,12.80%,$356.26,48.0567785
Online Behavior>United States>Sports>Sports League>NFL,320x50,Sign up Now - 10% Off,"Los Angeles, California",alotfinance.com,OpenX,Smartphone,40447,177,16663,29774,12,"$5,083.89",$423.66,0.44%,$28.72,$125.69,6.78%,$305.10,55.96493585
US>Reach>Sociodemographic>Dwelling Size>1 Unit,300x50,10% Discount - Ends 6/1,"San Francisco, California",bbc.com,BidSwitch,Smartphone,13686,66,7928,11931,11,"$4,660.56",$423.69,0.48%,$70.61,$340.53,16.67%,$587.86,66.44874696
Online Behavior>United States>Finance>Accounting and Auditing>Tax Preparation and Planning,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",pandora.com,Google Ad Manager,Windows PC,24962,75,18450,24128,16,"$6,809.06",$425.57,0.30%,$90.79,$272.78,21.33%,$369.05,76.46717507
US>Reach>Propensity Models>Hobbies and Interest>Sports>Plays Tennis,300x250,Sign up Now - 10% Off,"New York City, New York",rollingstone.com,Google Ad Manager,Windows PC,33650,100,15621,32539,9,"$3,844.99",$427.22,0.30%,$38.45,$114.26,9.00%,$246.14,48.00700698
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-54,320x50,Sign up Now - 10% Off,"Chicago, Illinois",daily-choices.com,PubMatic,Smartphone,28553,90,11390,23355,13,"$5,573.11",$428.70,0.32%,$61.92,$195.18,14.44%,$489.30,48.76900021
Online Behavior>United States>Food and Drink>Food and Grocery Delivery,300x250,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,262807,684,109871,236426,12,"$5,150.47",$429.21,0.26%,$7.53,$19.60,1.75%,$46.88,46.47162326
Online Behavior>United States>Intent>Shopping>Sports and Outdoors,320x50,Subscribe Today - 10% Discount,"New York City, New York",findagrave.com,Magnite DV+,Smartphone,26304,75,12354,17500,11,"$4,727.81",$429.80,0.29%,$63.04,$179.74,14.67%,$382.69,70.59428571
Online Behavior>United States>Sports>Fantasy Sports,320x50,Sign up Now - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",cargurus.com,Index Exchange,Smartphone,45285,190,30225,43298,11,"$4,728.01",$429.82,0.42%,$24.88,$104.41,5.79%,$156.43,69.80691949
Online Behavior>United States>Food and Drink>Beverages>Beer,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",zillow.com,Index Exchange,Apple PC,26212,77,12726,24442,15,"$6,452.94",$430.20,0.29%,$83.80,$246.18,19.48%,$507.07,52.0661157
Online Behavior>United States>The Changing Consumer>Virtual Events,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",yahoo.com,Google Ad Manager,Smartphone,571090,1541,246243,532325,11,"$4,733.62",$430.33,0.27%,$3.07,$8.29,0.71%,$19.22,46.25801907
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-64,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",the-sun.com,Index Exchange,Apple PC,48707,185,25182,44696,13,"$5,600.36",$430.80,0.38%,$30.27,$114.98,7.03%,$222.40,56.34061214
Online Behavior>United States>Intent>Services>Arts and Entertainment,300x250,Sign up Today - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Apple PC,29834,99,14599,24656,14,"$6,032.84",$430.92,0.33%,$60.94,$202.21,14.14%,$413.24,59.21073978
Media and Entertainment>Music,300x250,10% Discount - Ends 6/1,"New York City, New York",cnn.com,Yahoo Exchange,Smartphone,45402,122,17284,27542,5,"$2,163.27",$432.65,0.27%,$17.73,$47.65,4.10%,$125.16,62.75506499
Online Behavior>United States>Life Event>Movers,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",yahoo.com,Google Ad Manager,Smartphone,310255,970,105054,260998,14,"$6,057.86",$432.70,0.31%,$6.25,$19.53,1.44%,$57.66,40.25088315
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 55-64,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",news.yahoo.com,Google Ad Manager,Smartphone,52006,160,24711,48019,12,"$5,200.01",$433.33,0.31%,$32.50,$99.99,7.50%,$210.43,51.46088007
Online Behavior>United States>Law and Government>Public Safety,320x50,Subscribe Today - 10% Discount,"Augusta, Georgia",biblegateway.com,Taboola,Smartphone,43367,111,14306,39750,12,"$5,214.30",$434.52,0.26%,$46.98,$120.24,10.81%,$364.48,35.98993711
US>B2B>B2B Decision Maker Responsibilities>HR or Personnel Services,300x250,Sign up Today - 10% Off,"Los Angeles, California",foxnews.com,Google Ad Manager,Windows PC,51889,174,33879,49382,5,"$2,172.84",$434.57,0.34%,$12.49,$41.87,2.87%,$64.14,68.60596979
Online Behavior>United States>Life Event>Job Search,320x50,10% Discount - Ends 6/1,"New York City, New York",thesaurus.com,Google Ad Manager,Smartphone,18081,44,4545,15617,15,"$6,522.64",$434.84,0.24%,$148.24,$360.75,34.09%,"$1,435.12",29.10290069
Online Behavior>United States>Food and Drink>Food and Grocery Retailers,320x50,Subscribe Today - 10% Discount,"Ft. Wayne, Indiana",drugs.com,Google Ad Manager,Smartphone,18412,140,5668,16711,12,"$5,244.34",$437.03,0.76%,$37.46,$284.83,8.57%,$925.25,33.91777871
Online Behavior>United States>Intent>Shopping>Office Supplies,320x50,Subscribe Today - 10% Discount,"New York City, New York",kbb.com,Magnite DV+,Smartphone,96728,341,69700,91910,15,"$6,587.24",$439.15,0.35%,$19.32,$68.10,4.40%,$94.51,75.83505603
Media Source,300x250,10% Discount - Ends 6/1,"Los Angeles, California",healthyrecipesblogs.com,Yieldmo,Smartphone,9149,40,4568,8648,4,"$1,758.10",$439.52,0.44%,$43.95,$192.16,10.00%,$384.87,52.82146161
Online Behavior>United States>B2B>Occupation>MechanicalEngineer,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",bbc.com,Google Ad Manager,Smartphone,17752,98,5855,15753,5,"$2,200.30",$440.06,0.55%,$22.45,$123.95,5.10%,$375.80,37.16752365
OnAudience>Interest>Social life,300x250,10% Discount - Ends 6/1,"New York City, New York",screenrant.com,BidSwitch,Smartphone,83537,222,67987,79409,4,"$1,761.08",$440.27,0.27%,$7.93,$21.08,1.80%,$25.90,85.61623997
OnAudience>Interest>Sports,300x250,Sign up Now - 10% Off,"Chicago, Illinois",femanin.com,Google Ad Manager,Smartphone,11375,87,7171,8151,4,"$1,763.78",$440.95,0.76%,$20.27,$155.06,4.60%,$245.96,87.97693535
Restaurants,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",timeanddate.com,Google Ad Manager,Smartphone,12280,40,9613,11247,4,"$1,765.40",$441.35,0.33%,$44.13,$143.76,10.00%,$183.65,85.47168134
US>Quality-First Shopper Audience,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",wikihow.com,Google Ad Manager,Windows PC,16142,30,7064,15433,5,"$2,209.65",$441.93,0.19%,$73.66,$136.89,16.67%,$312.80,45.77204691
US>Interest Propensities>Food and Drink>American Cuisine,320x50,Sign up Today - 10% Off,"Chicago, Illinois",realtor.com,Google Ad Manager,Smartphone,85280,211,35860,79837,5,"$2,217.93",$443.59,0.25%,$10.51,$26.01,2.37%,$61.85,44.9165174
Online Behavior>United States>Online Communities>File Sharing and Hosting,320x50,Sign up Today - 10% Off,"San Francisco, California",ebay.com,Index Exchange,Smartphone,39794,101,17539,37664,12,"$5,328.52",$444.04,0.25%,$52.76,$133.90,11.88%,$303.81,46.56701359
Online Behavior>United States>Intent>Financial Intent>Banking,300x50,Subscribe Today - 10% Discount,"San Francisco, California",mydailymagazine.com,Google Ad Manager,Smartphone,9238,84,4626,8264,15,"$6,683.23",$445.55,0.91%,$79.56,$723.45,17.86%,"$1,444.71",55.97773475
US>Brand Propensities>Health>Beauty and Cosmetics>ULTA Buyer Propensity,320x50,Sign up Now - 10% Off,"Toledo, Ohio",mail.aol.com,Google Ad Manager,Smartphone,198754,480,137649,178415,4,"$1,803.08",$450.77,0.24%,$3.76,$9.07,0.83%,$13.10,77.1510243
US>Interest Propensities>Celebrities>Celebrity Fan Gossip,320x50,Subscribe Today - 10% Discount,"New York City, New York",mlb.com,Google Ad Manager,Smartphone,10012,25,5734,9413,4,"$1,805.93",$451.48,0.25%,$72.24,$180.38,16.00%,$314.95,60.91575481
"US>Reach>Sociodemographic>Estimated Current Home Value>$160,000-$199,999",300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",boattrader.com,Google Ad Manager,Smartphone,13132,67,6133,12377,4,"$1,807.69",$451.92,0.51%,$26.98,$137.66,5.97%,$294.75,49.55158762
